query,filename,structural,operator,overall
1,query_001_explain.json,0.7083,0.2632,0.1864
2,query_002_explain.json,0.7083,0.2632,0.1864
3,query_003_explain.json,0.5938,0.3913,0.2324
4,query_004_explain.json,0.6364,0.375,0.2386
5,query_005_explain.json,0.6364,0.375,0.2386
6,query_006_explain.json,0.5938,0.3913,0.2324
7,query_007_explain.json,0.5938,0.3913,0.2324
8,query_008_explain.json,0.6364,0.375,0.2386
9,query_009_explain.json,0.5484,0.2917,0.16
10,query_010_explain.json,0.5484,0.2917,0.16
11,query_011_explain.json,0.5484,0.2917,0.16
12,query_012_explain.json,0.5938,0.3913,0.2324
13,query_013_explain.json,0.7727,0.4667,0.3606
14,query_014_explain.json,0.8261,0.6429,0.5311
15,query_015_explain.json,0.7727,0.4667,0.3606
16,query_016_explain.json,0.7391,0.2778,0.2053
17,query_017_explain.json,0.913,0.6429,0.587
18,query_018_explain.json,0.7727,0.4667,0.3606
19,query_019_explain.json,0.7727,0.4667,0.3606
20,query_020_explain.json,0.7727,0.4667,0.3606
21,query_021_explain.json,0.8636,0.4667,0.403
22,query_022_explain.json,0.8636,0.4667,0.403
23,query_023_explain.json,0.7241,0.45,0.3258
24,query_024_explain.json,0.7576,0.5714,0.4329
25,query_025_explain.json,0.7576,0.5714,0.4329
26,query_026_explain.json,0.6571,0.6667,0.4381
27,query_027_explain.json,0.7419,0.55,0.408
28,query_028_explain.json,0.7419,0.55,0.408
29,query_029_explain.json,0.7742,0.6316,0.489
30,query_030_explain.json,0.7353,0.4783,0.3517
31,query_031_explain.json,0.8,0.75,0.6
32,query_032_explain.json,0.7941,0.619,0.4915
33,query_033_explain.json,0.6857,0.4,0.2743
34,query_034_explain.json,0.7714,0.5909,0.4558
35,query_035_explain.json,0.8182,0.5714,0.4675
36,query_036_explain.json,0.6857,0.2963,0.2032
37,query_037_explain.json,0.7714,0.5217,0.4024
38,query_038_explain.json,0.8857,0.75,0.6643
39,query_039_explain.json,0.625,0.4286,0.2679
40,query_040_explain.json,0.7297,0.5417,0.3953
41,query_041_explain.json,0.7632,0.52,0.3969
42,query_042_explain.json,0.8857,0.5909,0.5234
43,query_043_explain.json,0.8529,0.619,0.5279
44,query_044_explain.json,0.8857,0.5909,0.5234
45,query_045_explain.json,0.7632,0.8095,0.6178
46,query_046_explain.json,0.8333,0.7143,0.5952
47,query_047_explain.json,0.8333,0.7143,0.5952
48,query_048_explain.json,0.6875,0.5238,0.3601
49,query_049_explain.json,0.7333,0.5789,0.4245
50,query_050_explain.json,0.7586,0.6111,0.4636
51,query_051_explain.json,0.7333,0.5789,0.4245
52,query_052_explain.json,0.7188,0.5238,0.3765
53,query_053_explain.json,0.697,0.5,0.3485
54,query_054_explain.json,0.7188,0.5238,0.3765
55,query_055_explain.json,0.6667,0.5,0.3333
56,query_056_explain.json,0.7,0.5789,0.4052
57,query_057_explain.json,0.8485,0.65,0.5515
58,query_058_explain.json,0.8485,0.65,0.5515
59,query_059_explain.json,0.8485,0.65,0.5515
60,query_060_explain.json,0.75,0.4815,0.3611
61,query_061_explain.json,0.725,0.4815,0.3491
62,query_062_explain.json,0.725,0.4815,0.3491
63,query_063_explain.json,0.725,0.4815,0.3491
64,query_064_explain.json,0.75,0.4815,0.3611
65,query_065_explain.json,0.7436,0.5,0.3718
66,query_066_explain.json,0.4815,0.3171,0.1527
67,query_067_explain.json,0.5273,0.3095,0.1632
68,query_068_explain.json,0.5273,0.3095,0.1632
69,query_069_explain.json,0.623,0.4524,0.2818
70,query_070_explain.json,0.6393,0.4524,0.2892
71,query_071_explain.json,0.6393,0.4524,0.2892
72,query_072_explain.json,0.6557,0.4524,0.2966
73,query_073_explain.json,0.6774,0.3778,0.2559
74,query_074_explain.json,0.6774,0.3778,0.2559
75,query_075_explain.json,0.6774,0.3778,0.2559
76,query_076_explain.json,0.8462,0.7727,0.6539
77,query_077_explain.json,0.7949,0.7727,0.6142
78,query_078_explain.json,0.8462,0.7727,0.6539
79,query_079_explain.json,0.6829,0.5769,0.394
80,query_080_explain.json,0.6829,0.5769,0.394
81,query_081_explain.json,0.6667,0.5556,0.3704
82,query_082_explain.json,0.7143,0.5556,0.3969
83,query_083_explain.json,0.766,0.6207,0.4755
84,query_084_explain.json,0.75,0.6552,0.4914
85,query_085_explain.json,0.7292,0.6552,0.4778
86,query_086_explain.json,0.7736,0.7667,0.5931
87,query_087_explain.json,0.7736,0.7667,0.5931
88,query_088_explain.json,0.8974,0.7727,0.6934
89,query_089_explain.json,0.8974,0.7727,0.6934
90,query_090_explain.json,0.8974,0.7727,0.6934
91,query_091_explain.json,0.6981,0.4722,0.3296
92,query_092_explain.json,0.8113,0.5143,0.4173
93,query_093_explain.json,0.8113,0.5143,0.4173
94,query_094_explain.json,0.7115,0.6774,0.482
95,query_095_explain.json,0.75,0.5556,0.4167
96,query_096_explain.json,0.7358,0.6562,0.4828
97,query_097_explain.json,0.6557,0.525,0.3442
98,query_098_explain.json,0.629,0.4762,0.2995
99,query_099_explain.json,0.629,0.4762,0.2995
100,query_100_explain.json,0.6571,0.6279,0.4126
101,query_101_explain.json,0.7246,0.6429,0.4658
102,query_102_explain.json,0.6232,0.6429,0.4007
103,query_103_explain.json,0.7049,0.4878,0.3439
104,query_104_explain.json,0.6667,0.5789,0.386
105,query_105_explain.json,0.7647,0.7586,0.5801
106,query_106_explain.json,0.7959,0.6897,0.5489
107,query_107_explain.json,0.7959,0.6897,0.5489
108,query_108_explain.json,0.8723,0.8077,0.7046
109,query_109_explain.json,0.6216,0.4231,0.263
110,query_110_explain.json,0.6216,0.4231,0.263
111,query_111_explain.json,0.6739,0.4839,0.3261
112,query_112_explain.json,0.6875,0.4545,0.3125
113,query_113_explain.json,0.6458,0.4545,0.2935
