Index,Original,synthetic
1,54194,36029
2,50287,35993
3,51471,327242
4,50287,327242
5,85770,327242
6,85769,327242
7,85769,327242
8,85775,327242
9,338157,327242
10,291300,327242
11,308041,327242
12,67711,327242
13,66674,301129
14,68034,301265
15,322321,301114
16,279072,301092
17,292605,301187
18,512221,520939
19,513240,486810
20,512186,485829
21,512427,69707
22,512312,69698
23,514258,486888
24,544506,327155
25,545442,327155
26,545442,327155
27,494237,327155
28,499654,327155
29,564415,327155
30,564415,88337
31,533757,88337
32,497947,770438
33,532927,777538
34,533527,770438
35,513965,770438
36,480060,777260
37,590945,486890
38,83123,486494
39,29692,750798
40,84803,545067
41,84810,545067
42,288503,67288
43,289948,67288
44,304279,67288
45,289906,495260
46,289906,101042
47,289906,101042
48,289908,288828
49,323873,288828
50,322694,288828
51,323886,288828
52,349734,288828
53,349733,288828
54,363897,288828
55,333404,288828
56,562544,288828
57,562792,50661
58,562633,50661
59,562609,50661
60,546204,346154
61,546183,380000
62,546183,339424
63,546183,341922
64,546204,341676
65,546240,334756
66,704461,840454
67,755488,840454
68,786859,840454
69,788739,840454
70,752694,840454
71,786913,840454
72,772966,840454
73,514089,840454
74,514089,840454
75,514089,840454
76,362957,496734
77,322619,496737
78,339461,496734
79,358980,563668
80,358980,563458
81,359205,563439
82,357659,564111
83,358062,533384
84,345245,533384
85,358062,533384
86,837722,549397
87,837684,549397
88,805988,53255
89,805978,53255
90,837338,53255
91,529327,554688
92,529327,553865
93,529967,553470
94,341218,498205
95,340794,498205
96,342887,498205
97,362480,559663
98,359917,559663
99,362480,559663
100,888392,805820
101,872625,787203
102,907195,788476
103,809063,787591
104,809070,787591
105,840319,104474
106,839819,104474
107,838406,104474
108,871071,499544
109,52831,499544
110,52831,499544
111,101588,510878
112,101289,510877
113,103196,510882
