QueryNumber,OriginalNodeID,SyntheticNodeID,OriginalCost,SyntheticCost,AssignmentError,IsDummyAssignment
1,2,6,54193.9,26.3,0.9995147055295891,No
1,3,5,53193.9,26.46,0.9995025745433217,No
1,4,4,37890.47,1026.46,0.9729098108310612,No
1,5,3,37890.04,36029.75,0.049097071420352176,No
1,6,7,2.43,25.87,0.906068805566293,No
1,7,14,0.0,0.16,1.0,No
1,8,12,2.41,0.42,0.8257261410788382,No
1,9,15,0.0,0.15,1.0,No
1,10,2,37887.31,36029.75,0.04902855335995081,No
1,11,8,25.45,25.45,0.0,No
2,2,6,50287.5,26.3,0.9994770072085508,No
2,3,5,49287.5,26.46,0.9994631498858737,No
2,4,2,33944.92,35993.43,0.056913442258767835,No
2,5,3,33944.49,35993.43,0.056925388883471296,No
2,6,7,2.43,25.87,0.906068805566293,No
2,7,14,0.0,0.16,1.0,No
2,8,12,2.41,0.42,0.8257261410788382,No
2,9,15,0.0,0.15,1.0,No
2,10,4,33908.05,1026.46,0.9697281324051369,No
2,11,8,25.45,25.45,0.0,No
3,2,17,36168.29,50963.05,0.29030366118197404,No
3,3,12,36167.86,50965.65,0.29034830321991384,No
3,4,11,35167.86,291894.45,0.8795185725525101,No
3,5,13,2.43,2.43,0.0,No
3,7,15,2.41,2.41,0.0,No
3,9,10,35165.23,292467.13,0.87976347974557,No
3,10,23,25.45,25.45,0.0,No
3,DUMMY,2,0.0,327242.27,1.0,Yes
3,DUMMY,3,0.0,327242.27,1.0,Yes
3,DUMMY,4,0.0,293470.01,1.0,Yes
3,DUMMY,5,0.0,292470.01,1.0,Yes
3,DUMMY,6,0.0,0.0,1.0,Yes
3,DUMMY,7,0.0,292470.0,1.0,Yes
3,DUMMY,8,0.0,292467.99,1.0,Yes
3,DUMMY,9,0.0,292467.56,1.0,Yes
3,DUMMY,16,0.0,0.0,1.0,Yes
3,DUMMY,18,0.0,2685.14,1.0,Yes
3,DUMMY,20,0.0,2685.12,1.0,Yes
3,DUMMY,21,0.0,0.0,1.0,Yes
3,DUMMY,22,0.0,572.68,1.0,Yes
3,DUMMY,28,0.0,0.43,1.0,Yes
4,2,17,50287.47,50963.05,0.013256270964944243,No
4,3,12,49287.47,50965.65,0.032927667948902846,No
4,4,11,33944.92,291894.45,0.8837082376866022,No
4,5,10,33944.49,292467.13,0.8839374188819099,No
4,6,13,2.43,2.43,0.0,No
4,8,15,2.41,2.41,0.0,No
4,10,9,33908.05,292467.56,0.8840621845376629,No
4,11,23,25.45,25.45,0.0,No
4,DUMMY,2,0.0,327242.27,1.0,Yes
4,DUMMY,3,0.0,327242.27,1.0,Yes
4,DUMMY,4,0.0,293470.01,1.0,Yes
4,DUMMY,5,0.0,292470.01,1.0,Yes
4,DUMMY,6,0.0,0.0,1.0,Yes
4,DUMMY,7,0.0,292470.0,1.0,Yes
4,DUMMY,8,0.0,292467.99,1.0,Yes
4,DUMMY,16,0.0,0.0,1.0,Yes
4,DUMMY,18,0.0,2685.14,1.0,Yes
4,DUMMY,20,0.0,2685.12,1.0,Yes
4,DUMMY,21,0.0,0.0,1.0,Yes
4,DUMMY,22,0.0,572.68,1.0,Yes
4,DUMMY,28,0.0,0.43,1.0,Yes
5,2,11,85770.63,291894.45,0.7061587501920643,No
5,3,10,84770.63,292467.13,0.7101533085102589,No
5,4,12,50964.08,50965.65,3.080506184066541E-5,No
5,5,9,50963.65,292467.56,0.8257459733311961,No
5,6,8,50963.23,292467.99,0.8257476655821376,No
5,8,17,50963.05,50963.05,0.0,No
5,9,18,2685.14,2685.14,0.0,No
5,13,28,0.42,0.43,0.023255813953488393,No
5,DUMMY,2,0.0,327242.27,1.0,Yes
5,DUMMY,3,0.0,327242.27,1.0,Yes
5,DUMMY,4,0.0,293470.01,1.0,Yes
5,DUMMY,5,0.0,292470.01,1.0,Yes
5,DUMMY,6,0.0,0.0,1.0,Yes
5,DUMMY,7,0.0,292470.0,1.0,Yes
5,DUMMY,13,0.0,2.43,1.0,Yes
5,DUMMY,15,0.0,2.41,1.0,Yes
5,DUMMY,16,0.0,0.0,1.0,Yes
5,DUMMY,20,0.0,2685.12,1.0,Yes
5,DUMMY,21,0.0,0.0,1.0,Yes
5,DUMMY,22,0.0,572.68,1.0,Yes
5,DUMMY,23,0.0,25.45,1.0,Yes
5,DUMMY,24,0.0,0.0,1.0,Yes
6,2,11,51964.08,291894.45,0.8219764712895363,No
6,3,12,50964.08,50965.65,3.080506184066541E-5,No
6,4,10,50963.65,292467.13,0.8257457171340931,No
6,5,9,50963.23,292467.56,0.8257474093878993,No
6,7,17,50963.05,50963.05,0.0,No
6,8,18,2685.14,2685.14,0.0,No
6,12,28,0.42,0.43,0.023255813953488393,No
6,DUMMY,2,0.0,327242.27,1.0,Yes
6,DUMMY,3,0.0,327242.27,1.0,Yes
6,DUMMY,4,0.0,293470.01,1.0,Yes
6,DUMMY,5,0.0,292470.01,1.0,Yes
6,DUMMY,6,0.0,0.0,1.0,Yes
6,DUMMY,7,0.0,292470.0,1.0,Yes
6,DUMMY,8,0.0,292467.99,1.0,Yes
6,DUMMY,13,0.0,2.43,1.0,Yes
6,DUMMY,15,0.0,2.41,1.0,Yes
6,DUMMY,16,0.0,0.0,1.0,Yes
6,DUMMY,20,0.0,2685.12,1.0,Yes
6,DUMMY,21,0.0,0.0,1.0,Yes
6,DUMMY,22,0.0,572.68,1.0,Yes
6,DUMMY,23,0.0,25.45,1.0,Yes
6,DUMMY,24,0.0,0.0,1.0,Yes
7,2,11,51964.08,291894.45,0.8219764712895363,No
7,3,10,51963.65,292467.13,0.8223265294804241,No
7,4,12,50963.65,50965.65,3.92421169944855E-5,No
7,5,9,50963.23,292467.56,0.8257474093878993,No
7,7,17,50963.05,50963.05,0.0,No
7,8,18,2685.14,2685.14,0.0,No
7,12,28,0.42,0.43,0.023255813953488393,No
7,DUMMY,2,0.0,327242.27,1.0,Yes
7,DUMMY,3,0.0,327242.27,1.0,Yes
7,DUMMY,4,0.0,293470.01,1.0,Yes
7,DUMMY,5,0.0,292470.01,1.0,Yes
7,DUMMY,6,0.0,0.0,1.0,Yes
7,DUMMY,7,0.0,292470.0,1.0,Yes
7,DUMMY,8,0.0,292467.99,1.0,Yes
7,DUMMY,13,0.0,2.43,1.0,Yes
7,DUMMY,15,0.0,2.41,1.0,Yes
7,DUMMY,16,0.0,0.0,1.0,Yes
7,DUMMY,20,0.0,2685.12,1.0,Yes
7,DUMMY,21,0.0,0.0,1.0,Yes
7,DUMMY,22,0.0,572.68,1.0,Yes
7,DUMMY,23,0.0,25.45,1.0,Yes
7,DUMMY,24,0.0,0.0,1.0,Yes
8,2,11,85775.76,291894.45,0.7061411753460882,No
8,3,10,84775.76,292467.13,0.7101357680775956,No
8,4,9,50970.47,292467.56,0.8257226545056826,No
8,5,17,50970.05,50963.05,1.3733555293746032E-4,No
8,7,12,50969.87,50965.65,8.279401144246913E-5,No
8,8,20,2685.57,2685.12,1.6756219350092265E-4,No
8,9,18,2685.14,2685.14,0.0,No
8,13,28,0.43,0.43,0.0,No
8,DUMMY,2,0.0,327242.27,1.0,Yes
8,DUMMY,3,0.0,327242.27,1.0,Yes
8,DUMMY,4,0.0,293470.01,1.0,Yes
8,DUMMY,5,0.0,292470.01,1.0,Yes
8,DUMMY,6,0.0,0.0,1.0,Yes
8,DUMMY,7,0.0,292470.0,1.0,Yes
8,DUMMY,8,0.0,292467.99,1.0,Yes
8,DUMMY,13,0.0,2.43,1.0,Yes
8,DUMMY,15,0.0,2.41,1.0,Yes
8,DUMMY,16,0.0,0.0,1.0,Yes
8,DUMMY,21,0.0,0.0,1.0,Yes
8,DUMMY,22,0.0,572.68,1.0,Yes
8,DUMMY,23,0.0,25.45,1.0,Yes
8,DUMMY,24,0.0,0.0,1.0,Yes
9,2,2,338157.21,327242.27,0.032277708938987286,No
