QueryNumber,OriginalNodeCount,SyntheticNodeCount,MatchedPairs,UnmatchedOriginal,UnmatchedSynthetic,HungarianAssignments,DummyAssignments,TotalAssignmentError,AverageAssignmentError,MaximumAssignmentError
1,15,15,5,10,10,10,0,6.801847662329406,0.6801847662329406,1.0
2,15,15,5,10,10,10,0,6.814302067286931,0.6814302067286931,1.0
3,14,28,7,7,21,21,14,16.339934016699967,0.7780920960333317,1.0
4,15,28,7,8,21,21,13,15.697891780020022,0.7475186561914297,1.0
5,14,28,6,8,22,22,14,17.091092316630984,0.7768678325741356,1.0
6,13,28,6,7,22,22,15,17.49675621682686,0.7953071007648572,1.0
7,13,28,6,7,22,22,15,17.49334546622834,0.7951520666467428,1.0
8,14,28,6,8,22,22,14,16.242387289687247,0.7382903313494203,1.0
9,12,28,6,6,22,22,16,16.88714341391273,0.7675974279051242,1.0
10,12,28,6,6,22,22,16,16.83524433692662,0.76523837895121,1.0
11,12,28,6,6,22,22,16,16.098504998921847,0.7317502272237203,1.0
12,14,28,7,7,21,21,14,15.647794575189309,0.7451330750090147,1.0
13,13,16,6,7,10,10,3,8.553056040010702,0.8553056040010703,1.0
14,15,16,8,7,8,8,1,5.9725492096133825,0.7465686512016728,1.0
15,13,16,6,7,10,10,3,8.551253907755804,0.8551253907755804,1.0
16,13,16,4,9,12,12,3,11.137923645722434,0.9281603038102029,1.0
17,15,16,8,7,8,8,1,4.9012055284822935,0.6126506910602867,1.0
18,13,16,6,7,10,10,3,8.47890270781725,0.847890270781725,1.0
19,13,16,6,7,10,10,3,6.170929405638901,0.6170929405638901,1.0
20,13,16,6,7,10,10,3,6.553714871044111,0.6553714871044111,1.0
21,13,16,6,7,10,10,3,6.9943523383905095,0.6994352338390509,1.0
22,13,16,6,7,10,10,3,7.084260366989022,0.7084260366989021,1.0
23,14,23,7,7,16,16,9,11.816939494578687,0.7385587184111679,1.0
24,22,21,9,13,12,13,1,9.03179506969118,0.6947534668993215,1.0
25,22,21,9,13,12,13,1,9.031795198569581,0.6947534768130447,1.0
26,24,21,9,15,12,15,3,9.55270494324129,0.636846996216086,1.0
27,19,21,8,11,13,13,2,7.825322661166239,0.6019478970127876,1.0
28,19,21,8,11,13,13,2,7.9130038653024295,0.6086926050232638,1.0
29,20,21,7,13,14,14,1,6.143419750033679,0.4388156964309771,1.0
30,20,23,7,13,16,16,3,12.647507282003486,0.7904692051252179,1.0
31,20,23,8,12,15,15,3,12.276254935897626,0.8184169957265084,1.0
32,20,21,6,14,15,15,1,7.112634063079559,0.47417560420530397,1.0
33,20,24,6,14,18,18,4,11.262284387916232,0.6256824659953462,1.0
34,21,21,7,14,14,14,0,6.38952735135841,0.456394810811315,0.9999994418762821
35,18,21,6,12,15,15,3,8.55676829380976,0.5704512195873174,1.0
36,19,24,6,13,18,18,5,13.239991636743731,0.7355550909302073,1.0
37,22,24,8,14,16,16,2,9.005097964050417,0.5628186227531511,1.0
38,21,24,9,12,15,15,3,7.791549194912317,0.5194366129941544,1.0
39,20,27,6,14,21,21,7,15.521388470194395,0.7391137366759236,1.0
40,21,26,10,11,16,16,5,14.300159522568507,0.8937599701605317,1.0
41,22,26,10,12,16,16,4,14.404451154792078,0.9002781971745049,1.0
42,23,23,10,13,13,13,0,8.18046108434178,0.6292662372570601,1.0
43,22,23,10,12,13,13,1,6.4855121670953375,0.498885551315026,1.0
44,23,23,10,13,13,13,0,8.20182397718511,0.6309095367065469,1.0
45,24,26,13,11,13,13,2,8.155882234497318,0.6273755564997937,1.0
46,24,23,11,13,12,13,1,6.492406423196582,0.4994158787074294,1.0
47,24,23,11,13,12,13,1,6.492406423196582,0.4994158787074294,1.0
48,25,18,8,17,10,17,7,12.055904120672587,0.7091708306277992,1.0
49,22,18,8,14,10,14,4,7.097275250830733,0.5069482322021952,1.0
50,21,18,8,13,10,13,3,5.2988824384857605,0.4076063414219816,1.0
51,22,18,8,14,10,14,4,7.097279993520882,0.5069485709657773,1.0
52,24,18,7,17,11,17,6,9.08528866663827,0.5344287450963688,1.0
53,25,18,7,18,11,18,7,10.074262870633758,0.5596812705907643,1.0
54,24,18,7,17,11,17,6,9.172457378772886,0.5395563163984051,1.0
55,25,18,7,18,11,18,7,9.138030366953874,0.5076683537196597,1.0
56,22,18,7,15,11,15,4,10.923301433847474,0.7282200955898316,1.0
57,22,21,7,15,14,15,1,9.501236361971088,0.6334157574647392,1.0
58,22,21,7,15,14,15,1,9.501091051191688,0.6334060700794458,1.0
59,22,21,7,15,14,15,1,9.501070973591457,0.6334047315727638,1.0
60,19,33,9,10,24,24,14,17.549452306391316,0.7312271794329716,1.0
61,19,33,8,11,25,25,14,16.523770502010436,0.6609508200804174,1.0
62,19,33,8,11,25,25,14,17.128389533436405,0.6851355813374562,1.0
63,19,33,8,11,25,25,14,16.957477419508546,0.6782990967803418,1.0
64,19,33,9,10,24,24,14,17.64420972465762,0.7351754051940675,1.0
65,19,30,7,12,23,23,11,14.776200430170551,0.642443496963937,1.0
66,19,52,10,9,42,42,33,36.42945304699965,0.8673679296904678,1.0
67,20,52,10,10,42,42,32,35.09298339495059,0.8355472236892998,1.0
68,20,52,10,10,42,42,32,35.2624794406463,0.839582843824912,1.0
69,27,52,12,15,40,40,25,26.685589112329076,0.667139727808227,1.0
70,27,52,12,15,40,40,25,26.80540998177578,0.6701352495443945,1.0
71,27,52,12,15,40,40,25,26.52619328371432,0.663154832092858,1.0
72,27,52,12,15,40,40,25,26.04743434250061,0.6511858585625152,1.0
73,26,52,9,17,43,43,26,29.30200115254125,0.6814418872684012,1.0
74,26,52,8,18,44,44,26,29.32525700457952,0.6664831137404437,1.0
