QueryNumber,OriginalNodeCount,SyntheticNodeCount,MatchedPairs,UnionNodes,JaccardDistance,AverageError,NoDifference,RootSimilarity,RootMatchNumber
1,15,15,5,25,0.8,0.6890114605893048,No,0,4
2,15,15,5,25,0.8,0.6856166343062149,No,0,9
3,14,28,7,35,0.8,0.5601935957371211,No,0,16
4,15,28,7,36,0.8055555555555556,0.5897552588199427,No,0,23
5,14,28,6,36,0.8333333333333334,0.6948889981148118,No,0,29
6,13,28,6,35,0.8285714285714285,0.6714191584619557,No,0,35
7,13,28,6,35,0.8285714285714285,0.6714191819684147,No,0,41
8,14,28,6,36,0.8333333333333334,0.6965490057532129,No,0,47
9,12,28,6,34,0.8235294117647058,0.5852355108053298,No,0,53
10,12,28,6,34,0.8235294117647058,0.591698339382626,No,0,59
11,12,28,6,34,0.8235294117647058,0.6707686261395641,No,0,65
12,14,28,7,35,0.8,0.6274023965529546,No,0,72
13,13,16,6,23,0.7391304347826086,0.669096270489602,No,0,78
14,15,16,8,23,0.6521739130434783,0.5841997874047872,No,0,85
15,13,16,6,23,0.7391304347826086,0.5553689531549828,No,0,92
16,13,16,4,25,0.84,0.6979282206572847,No,0,97
17,15,16,8,23,0.6521739130434783,0.6574827480854029,No,0,103
18,13,16,6,23,0.7391304347826086,0.6159383977603905,No,0,110
19,13,16,6,23,0.7391304347826086,0.6188174715971648,No,0,116
20,13,16,6,23,0.7391304347826086,0.6186174357230967,No,0,122
21,13,16,6,23,0.7391304347826086,0.6812553970025454,No,0,128
22,13,16,6,23,0.7391304347826086,0.680983155846863,No,0,134
23,14,23,7,30,0.7666666666666666,0.5763108023468543,No,0,141
24,22,21,9,34,0.7352941176470589,0.6512955109434424,No,0,150
25,22,21,9,34,0.7352941176470589,0.6512955104435995,No,0,159
26,24,21,9,36,0.75,0.6807382221919497,No,0,168
27,19,21,8,32,0.75,0.6455978944333209,No,0,176
28,19,21,8,32,0.75,0.6459755850301344,No,0,184
29,20,21,7,34,0.7941176470588236,0.7174332165835875,No,0,191
30,20,23,7,36,0.8055555555555556,0.7754227372066607,No,0,198
31,20,23,8,35,0.7714285714285715,0.7261360374636847,No,0,206
32,20,21,6,35,0.8285714285714285,0.7502423227753107,No,0,213
33,20,24,6,38,0.8421052631578947,0.7675066443655015,No,0,218
34,21,21,7,35,0.8,0.761701119519548,No,0,225
35,18,21,6,33,0.8181818181818181,0.7221669536045434,No,0,232
36,19,24,6,37,0.8378378378378378,0.7576933228400975,No,0,237
37,22,24,8,38,0.7894736842105263,0.7020599525243939,No,0,244
38,21,24,9,36,0.75,0.6900664226237024,No,0,253
39,20,27,6,41,0.8536585365853658,0.7805806491731375,No,0,261
40,21,26,10,37,0.7297297297297297,0.6914134845857498,No,0,269
41,22,26,10,38,0.736842105263158,0.704759986776672,No,0,279
42,23,23,10,36,0.7222222222222222,0.7055659226906148,No,0,289
43,22,23,10,35,0.7142857142857143,0.6933807271945208,No,0,299
44,23,23,10,36,0.7222222222222222,0.7060916950606986,No,0,309
45,24,26,13,37,0.6486486486486487,0.5189977067666128,No,0,321
46,24,23,11,36,0.6944444444444444,0.6481504874392664,No,0,333
47,24,23,11,36,0.6944444444444444,0.6481504874392664,No,0,344
48,25,18,8,35,0.7714285714285715,0.6801489244247453,No,0,352
49,22,18,8,32,0.75,0.7278749081914526,No,0,360
50,21,18,8,31,0.7419354838709677,0.7147614092853949,No,0,368
51,22,18,8,32,0.75,0.7278765339611849,No,0,376
52,24,18,7,35,0.8,0.7165584807825489,No,0,384
53,25,18,7,36,0.8055555555555556,0.7278960574862104,No,0,391
54,24,18,7,35,0.8,0.7178977539828543,No,0,398
55,25,18,7,36,0.8055555555555556,0.7262781764534328,No,0,405
56,22,18,7,33,0.7878787878787878,0.7493486443324611,No,0,412
57,22,21,7,36,0.8055555555555556,0.7682058915766448,No,0,419
58,22,21,7,36,0.8055555555555556,0.7682047389617082,No,0,426
59,22,21,7,36,0.8055555555555556,0.7682045600005446,No,0,433
