QueryNumber,OriginalNodePath,SyntheticNodePath,OriginalNodeName,SyntheticNodeName,OriginalDepth,SyntheticDepth,OriginalSimilarityState,SyntheticSimilarityState,OriginalMatchNumber,SyntheticMatchNumber
1,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,3,3
1,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,6,0,0,1,1
1,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,9,0,0,2,2
1,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,4,4
2,Finalize Aggregate,Sort,Finalize Aggregate,Sort,0,0,0,0,9,9
2,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Hash/Seq Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Nested Loop/Hash Join/Hash/Seq Scan,Seq Scan,Seq Scan,8,9,0,0,7,7
2,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Index Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Index Scan,Index Scan,Index Scan,4,6,0,0,6,6
2,Finalize Aggregate/Gather/Partial Aggregate/Nested Loop/Parallel Hash Join/Parallel Hash/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Nested Loop/Nested Loop/Nested Loop/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,7,8,0,0,8,8
3,Aggregate,Sort,Aggregate,Sort,0,0,0,0,16,16
3,Aggregate/Nested Loop/Gather/Parallel Hash Join/Hash Join/Parallel Seq Scan,Sort/GroupAggregate/Sort/Gather/Parallel Hash Join/Parallel Hash/Nested Loop/Nested Loop/Merge Join/Sort/Parallel Hash Join/Hash Join/Parallel Seq Scan,Parallel Seq Scan,Parallel Seq Scan,5,12,0,0,14,14
