QueryNumber,Tree,NodeName,Depth,SimilarityState,MatchNumber,ParentNode,NumberOfChildren
1,Original,Finalize Aggregate,0,0,4,,1
1,Original,Gather,1,16,0,Finalize Aggregate,1
1,Original,Partial Aggregate,2,16,0,Gather,1
1,Original,Nested Loop,3,16,0,Partial Aggregate,2
1,Original,Parallel Hash Join,4,16,0,Nested Loop,2
1,Original,Hash Join,5,16,0,Parallel Hash Join,2
1,Original,Parallel Seq Scan,6,16,0,Hash Join,0
1,Original,Hash,6,16,0,Hash Join,1
1,Original,Seq Scan,7,16,0,Hash,0
1,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
1,Original,Hash Join,6,16,0,Parallel Hash,2
1,Original,Parallel Seq Scan,7,0,3,Hash Join,0
1,Original,Hash,7,1,5,Hash Join,1
1,Original,Seq Scan,8,0,2,Hash,0
1,Original,Index Scan,4,0,1,Nested Loop,0
1,Synthetic,Sort,0,0,4,,1
1,Synthetic,GroupAggregate,1,16,0,Sort,1
1,Synthetic,Sort,2,16,0,GroupAggregate,1
1,Synthetic,Gather,3,16,0,Sort,1
1,Synthetic,Nested Loop,4,16,0,Gather,2
1,Synthetic,Nested Loop,5,16,0,Nested Loop,2
1,Synthetic,Nested Loop,6,16,0,Nested Loop,2
1,Synthetic,Hash Join,7,16,0,Nested Loop,2
1,Synthetic,Parallel Seq Scan,8,0,3,Hash Join,0
1,Synthetic,Hash,8,1,5,Hash Join,1
1,Synthetic,Seq Scan,9,0,2,Hash,0
1,Synthetic,Index Scan,7,16,0,Nested Loop,0
1,Synthetic,Index Scan,6,0,1,Nested Loop,0
1,Synthetic,Memoize,5,16,0,Nested Loop,1
1,Synthetic,Index Scan,6,16,0,Memoize,0
2,Original,Finalize Aggregate,0,0,9,,1
2,Original,Gather,1,16,0,Finalize Aggregate,1
2,Original,Partial Aggregate,2,16,0,Gather,1
2,Original,Nested Loop,3,16,0,Partial Aggregate,2
2,Original,Parallel Hash Join,4,16,0,Nested Loop,2
2,Original,Hash Join,5,16,0,Parallel Hash Join,2
2,Original,Parallel Seq Scan,6,16,0,Hash Join,0
2,Original,Hash,6,16,0,Hash Join,1
2,Original,Seq Scan,7,16,0,Hash,0
2,Original,Parallel Hash,5,16,0,Parallel Hash Join,1
2,Original,Hash Join,6,16,0,Parallel Hash,2
2,Original,Parallel Seq Scan,7,0,8,Hash Join,0
2,Original,Hash,7,1,10,Hash Join,1
2,Original,Seq Scan,8,0,7,Hash,0
2,Original,Index Scan,4,0,6,Nested Loop,0
2,Synthetic,Sort,0,0,9,,1
2,Synthetic,GroupAggregate,1,16,0,Sort,1
2,Synthetic,Sort,2,16,0,GroupAggregate,1
2,Synthetic,Gather,3,16,0,Sort,1
2,Synthetic,Nested Loop,4,16,0,Gather,2
2,Synthetic,Nested Loop,5,16,0,Nested Loop,2
2,Synthetic,Nested Loop,6,16,0,Nested Loop,2
2,Synthetic,Hash Join,7,16,0,Nested Loop,2
2,Synthetic,Parallel Seq Scan,8,0,8,Hash Join,0
2,Synthetic,Hash,8,1,10,Hash Join,1
2,Synthetic,Seq Scan,9,0,7,Hash,0
2,Synthetic,Index Scan,7,16,0,Nested Loop,0
2,Synthetic,Index Scan,6,0,6,Nested Loop,0
2,Synthetic,Memoize,5,16,0,Nested Loop,1
2,Synthetic,Index Scan,6,16,0,Memoize,0
3,Original,Aggregate,0,0,16,,1
3,Original,Nested Loop,1,16,0,Aggregate,2
3,Original,Gather,2,16,0,Nested Loop,1
3,Original,Parallel Hash Join,3,16,0,Gather,2
3,Original,Hash Join,4,16,0,Parallel Hash Join,2
3,Original,Parallel Seq Scan,5,0,14,Hash Join,0
3,Original,Hash,5,16,0,Hash Join,1
3,Original,Seq Scan,6,0,12,Hash,0
3,Original,Parallel Hash,4,16,0,Parallel Hash Join,1
3,Original,Hash Join,5,16,0,Parallel Hash,2
3,Original,Parallel Seq Scan,6,0,13,Hash Join,0
3,Original,Hash,6,1,17,Hash Join,1
3,Original,Seq Scan,7,0,11,Hash,0
3,Original,Index Scan,2,0,15,Nested Loop,0
3,Synthetic,Sort,0,0,16,,1
3,Synthetic,GroupAggregate,1,16,0,Sort,1
3,Synthetic,Sort,2,16,0,GroupAggregate,1
3,Synthetic,Gather,3,16,0,Sort,1
3,Synthetic,Parallel Hash Join,4,16,0,Gather,2
3,Synthetic,Parallel Seq Scan,5,16,0,Parallel Hash Join,0
3,Synthetic,Parallel Hash,5,16,0,Parallel Hash Join,1
3,Synthetic,Nested Loop,6,16,0,Parallel Hash,2
3,Synthetic,Nested Loop,7,16,0,Nested Loop,2
3,Synthetic,Merge Join,8,16,0,Nested Loop,2
3,Synthetic,Sort,9,16,0,Merge Join,1
3,Synthetic,Parallel Hash Join,10,16,0,Sort,2
3,Synthetic,Hash Join,11,16,0,Parallel Hash Join,2
3,Synthetic,Parallel Seq Scan,12,0,14,Hash Join,0
3,Synthetic,Hash,12,16,0,Hash Join,1
3,Synthetic,Seq Scan,13,16,0,Hash,0
3,Synthetic,Parallel Hash,11,16,0,Parallel Hash Join,1
3,Synthetic,Hash Join,12,16,0,Parallel Hash,2
3,Synthetic,Parallel Seq Scan,13,0,13,Hash Join,0
3,Synthetic,Hash,13,16,0,Hash Join,1
3,Synthetic,Seq Scan,14,16,0,Hash,0
3,Synthetic,Sort,9,16,0,Merge Join,1
3,Synthetic,Hash Join,10,16,0,Sort,2
3,Synthetic,Seq Scan,11,0,12,Hash Join,0
3,Synthetic,Hash,11,1,17,Hash Join,1
3,Synthetic,Seq Scan,12,0,11,Hash,0
3,Synthetic,Index Scan,8,0,15,Nested Loop,0
3,Synthetic,Index Only Scan,7,16,0,Nested Loop,0
4,Original,Finalize Aggregate,0,0,23,,1
4,Original,Gather,1,16,0,Finalize Aggregate,1
4,Original,Partial Aggregate,2,16,0,Gather,1
4,Original,Nested Loop,3,16,0,Partial Aggregate,2
4,Original,Parallel Hash Join,4,16,0,Nested Loop,2
