QueryNumber,OriginalNodeCount,SyntheticNodeCount,T_IS_SIMILAR_Count,T_SUB_OP_DIF_Count,T_LEFT_EQ_RIGHT_Count,T_LEFT_SIMILAR_Count,T_RIGHT_SIMILAR_Count,T_LEFT_EQ_Count,T_RIGHT_EQ_Count,T_NO_CHILD_SIMILAR_Count,T_NP_SIMILAR_Count,T_NP_LEFT_EQ_RIGHT_Count,T_NP_LEFT_SIMILAR_Count,T_NP_RIGHT_SIMILAR_Count,T_NP_NOT_SIMILAR_Count,T_NO_DIFF_DONE_Count,T_EDIT_NODE_Count,RootSimilarity,RootMatchNumber,NoDifferenceDetected
1,15,15,8,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,No
2,15,15,8,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,No
3,14,28,12,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,16,No
4,15,28,12,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,23,No
5,14,28,10,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,29,No
6,13,28,10,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,35,No
7,13,28,10,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,41,No
8,14,28,10,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,47,No
9,12,28,10,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,53,No
10,12,28,10,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,59,No
11,12,28,10,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,65,No
12,14,28,12,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,72,No
13,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,78,No
14,15,16,12,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,85,No
15,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,92,No
16,13,16,8,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,97,No
17,15,16,12,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,103,No
18,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,110,No
19,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,116,No
20,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,122,No
21,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,128,No
22,13,16,10,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,134,No
23,14,23,12,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,141,No
24,22,21,16,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,150,No
25,22,21,16,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,159,No
26,24,21,16,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,168,No
27,19,21,14,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,176,No
28,19,21,14,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,184,No
29,20,21,12,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,191,No
30,20,23,12,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,198,No
31,20,23,14,2,0,0,0,0,0,0,0,0,0,0,0,27,0,0,206,No
32,20,21,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,213,No
33,20,24,10,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,218,No
